"id","type","keyword","page","internal_link","title","category","address1","address2","postal_code","memo","site"
1,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0775010966479447711957&recuid=5JYSRBCR6UYIQFMPXZO7E6FW7SWXDQ26MMSZUL56OBFQE&niceid=Abdel-Qader-M-Internist-Sportmedizin-Winsen-Luhe-In-den-Twieten&buc=775&verlNr=129&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=0,Abdel-Qader M. Internist Sportmedizin,Fachärzte für Innere Medizin,In den Twieten 6,Winsen (Luhe),"21423","21423 Winsen (Luhe)",https://www.dasoertliche.de
2,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0303901679187550610397&recuid=BK477RIZKX4GRS3LNK3HPBKVAJYKUI66D6C3RWKJWEM5ILF3XQBA&niceid=Abrams-Esther-Dr-med-Hamm-Heessen-Heessener-Markt&buc=303&verlNr=131&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=1,Abrams Esther Dr. med.,Fachärzte für Allgemeinmedizin,Heessener Markt 2,"Hamm, Heessen","59073","59073 Hamm, Heessen",https://www.dasoertliche.de
3,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0634906311488557779337&recuid=RSNQETXSMLNO52PJLN5G4FRGTZTE6TZURFGBKJQPHF4C3EAC&niceid=Abresch-Thomas-Facharzt-f%C3%BCr-Allgemeinmedizin-Sportmedizin-Chirotherapie-Sarstedt-Friedrich-Ebert-Str&buc=634&verlNr=166&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=2,Abresch Thomas Facharzt für Allgemeinmedizin Sportmedizin Chirotherapie,Fachärzte für Allgemeinmedizin,Friedrich-Ebert-Str. 5,Sarstedt,"31157","31157 Sarstedt",https://www.dasoertliche.de
4,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0877009042118551387843&recuid=HPGGPJ3YPOGV7LKWBLHHHNIPEIQ6MDMQ336X32YCUH3AE&niceid=Adam-Hans-Joachim-Dr-med-Arzt-f%C3%BCr-Innere-Medizin-und-Sportmedizin-Waltrop-Leveringh%C3%A4user-Str&buc=877&verlNr=161&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=3,Adam Hans-Joachim Dr.med. Arzt für Innere Medizin und Sportmedizin,Fachärzte für Allgemeinmedizin,Leveringhäuser Str. 78,Waltrop,"45731","45731 Waltrop",https://www.dasoertliche.de
5,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0597090201976&recuid=J3XU555452XCXHZ6C6WAVZC7L7X24KUPF7ODTA7FAI&niceid=Aepp-Regensburg-Reinhausen-Im-Gewerbepark-C&buc=597&verlNr=122&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=4,Aepp,"",Im Gewerbepark C 28,"Regensburg, Reinhausen","93059","93059 Regensburg, Reinhausen",https://www.dasoertliche.de
6,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0270906339801554755530&recuid=JHMT7KU3NOMCZKZTACVEHUZIJZAPIPPTZOIDF5DF6VEK7XIC&niceid=Aerzte-Acut-Arzt-Ruf-p%C3%A4n-AID-Privatpatienten-und-Selbstzahler-G%C3%B6ttingen-%C3%9Cber-den-H%C3%B6fen&buc=270&verlNr=166&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=5,Aerzte Acut Arzt Ruf (pän AID) Privatpatienten und Selbstzahler,Fachärzte für Allgemeinmedizin,Über den Höfen 22,Göttingen,"37077","37077 Göttingen",https://www.dasoertliche.de
7,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0131044205191551299029&recuid=DNA5FE56ZOCWSO3PY3PJ5DNJDCCIFOUF7ANMN4X4YTHJB2YZAI&niceid=%C3%84rzte-Fach%C3%A4rzte-f%C3%BCr-Allgemeinmedizin-Dr-Susanne-K%C3%B6hler-Dr-T-Mattes-Dr-J-Br%C3%BChl-Wagh%C3%A4usel-Kirrlach-Obere-Bachstra%C3%9Fe&buc=131&verlNr=101&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=6,"Ärzte + Fachärzte für Allgemeinmedizin Dr.Susanne Köhler,  Dr. T. Mattes, Dr. J. Brühl",Fachärzte für Allgemeinmedizin,Obere Bachstraße 1,"Waghäusel, Kirrlach","68753","68753 Waghäusel, Kirrlach",https://www.dasoertliche.de
8,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0131044205200551299029&recuid=LE42VUOGRH6SWQZNVGOONT6RLL6MBQWHQBMKTMEEQ23NFE23AI&niceid=%C3%84rzte-Fach%C3%A4rzte-f%C3%BCr-Allgemeinmedizin-Dr-Susanne-K%C3%B6hler-Dr-T-Mattes-Dr-J-Br%C3%BChl-Wagh%C3%A4usel-Kirrlach-Obere-Bachstra%C3%9Fe&buc=131&verlNr=101&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=7,"Ärzte + Fachärzte für Allgemeinmedizin Dr.Susanne Köhler,  Dr. T. Mattes, Dr. J. Brühl *",Fachärzte für Allgemeinmedizin,Obere Bachstraße 1,"Waghäusel, Kirrlach","68753","68753 Waghäusel, Kirrlach",https://www.dasoertliche.de
9,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0131044205209551299029&recuid=JAKYNQHKTDITU3Z4RSG4VXX5JPIND3WWVREYZINIS6NMHP2KAI&niceid=%C3%84rzte-Fach%C3%A4rzte-f%C3%BCr-Allgemeinmedizin-Dr-Susanne-K%C3%B6hler-Dr-T-Mattes-Dr-J-Br%C3%BChl-Wagh%C3%A4usel-Kirrlach-Obere-Bachstra%C3%9Fe&buc=131&verlNr=101&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=8,"Ärzte + Fachärzte für Allgemeinmedizin Dr.Susanne Köhler,  Dr. T. Mattes, Dr. J. Brühl *",Fachärzte für Allgemeinmedizin,Obere Bachstraße 1,"Waghäusel, Kirrlach","68753","68753 Waghäusel, Kirrlach",https://www.dasoertliche.de
10,Standardsuche,Sportärzte,1,https://www.dasoertliche.de/?form_name=detail&id=0131044205218551299029&recuid=O6DRJ73YU5BQL7IDEWZFRYLPORBO47HJHZ3CLHR2VAEPYLLVAI&niceid=%C3%84rzte-Fach%C3%A4rzte-f%C3%BCr-Allgemeinmedizin-Dr-Susanne-K%C3%B6hler-Dr-T-Mattes-Dr-J-Br%C3%BChl-Wagh%C3%A4usel-Kirrlach-Obere-Bachstra%C3%9Fe&buc=131&verlNr=101&kw=Sportärzte&recFrom=1&pagePos=1&lastFormName=search_nat&buab=71100098&zvo_ok=0&hitno=9,"Ärzte + Fachärzte für Allgemeinmedizin Dr.Susanne Köhler,  Dr. T. Mattes, Dr. J. Brühl *",Fachärzte für Allgemeinmedizin,Obere Bachstraße 1,"Waghäusel, Kirrlach","68753","68753 Waghäusel, Kirrlach",https://www.dasoertliche.de
